Channel Number,Receive Frequency,Transmit Frequency,Offset Direction,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,RX DCS,Comment,
166,147.03,147.63,+,VE3RSS,None,88.5,88.5,23,23,Acton,
217,442.125,447.125,+,VE3PAQ,Tone,131.8,88.5,23,23,Acton,
238,442.825,447.825,+,VA3GTU,Tone,103.5,88.5,23,23,Acton,
215,29.64,29.54,-,VE3WOO,None,88.5,88.5,23,23,Agincourt,
193,147.375,147.975,+,VE3SPA,T SQL,103.5,103.5,23,23,Ajax,
292,444.6,449.6,+,VE3DAX,T SQL,103.5,103.5,23,23,Ajax,
348,442.875,447.875,+,VE3OUR,None,88.5,88.5,23,23,Ajax,
35,145.27,144.67,-,WA2DQL,Tone,141.3,88.5,23,23,Albion,
460,442.875,447.875,+,K2SRV,Tone,141.3,88.5,23,23,Albion,
62,146.955,146.355,-,K2BVD,Tone,127.3,88.5,23,23,Alfred,
36,147.21,147.81,+,KA2AJH,T SQL,123,123,23,23,Alma Alma Hill,
476,444.1,449.1,+,KA2AJH,Tone,123,88.5,23,23,Alma Alma Hill,
454,145.27,144.67,-,VE3RDM,T SQL,136.5,136.5,23,23,Ancaster,
386,146.685,146.085,-,WA2EMO,T SQL,71.9,71.9,23,23,Arcadia Brantling Ski,
389,444.75,449.75,+,WA2EMO,T SQL,110.9,110.9,23,23,Arcadia Brantling Ski,
269,443.85,448.85,+,VE3RKL,T SQL,131.8,131.8,23,23,Arkell,
63,147.045,147.645,+,KC2FSW,Tone,110.9,88.5,23,23,Arkport,
15,146.67,146.07,-,K2XZ,Tone,88.5,88.5,23,23,Arkwright,
96,147.225,147.825,+,VE3YRC,Tone,103.5,88.5,23,23,Aurora,
112,444.1,449.1,+,VE3WDX,Tone,103.5,88.5,23,23,Aurora,
180,147.18,147.78,+,VE3YRK,None,88.5,88.5,23,23,Aurora,
183,147.225,147.825,+,VE3YRC,Tone,103.5,88.5,23,23,Aurora,
211,224.88,223.28,-,VE3ULR,None,88.5,88.5,23,23,Aurora,
4,29.62,29.52,-,WR2AHL,None,88.5,88.5,23,23,Avon,
64,146.94,146.34,-,W2HYP,Tone,110.9,88.5,23,23,Avon,
162,146.97,146.37,-,VE3KSR,Tone,131.8,88.5,23,23,Baden Baden Sand Hill,
101,442.025,447.025,+,VE3ULR,Tone,103.5,88.5,23,23,Ballantrae,
143,145.47,144.87,-,VE3ULR,Tone,103.5,88.5,23,23,Ballantrae,
191,147.33,147.83,+,VA3BAL,T SQL,103.5,103.5,23,23,Ballantrae,
228,442.475,447.475,+,VA3URU,Tone,103.5,88.5,23,23,Ballantrae,
239,442.85,447.85,+,VE3SNM,T SQL,136.5,136.5,23,23,Ballantrae,
263,443.7,448.7,+,VA3BAL,T SQL,103.5,103.5,23,23,Ballantrae,
332,53.13,52.13,-,VA3PWR,T SQL,103.5,103.5,23,23,Ballantrae,
330,147.285,147.885,+,VA3FOY,T SQL,118.8,118.8,23,23,Bancroft,
388,145.37,144.77,-,VA3ROG,T SQL,156.7,156.7,23,23,Banks  (Collingwood),
72,147,147.6,+,VE3RAG,Tone,156.7,88.5,23,23,Barrie,
452,445.5,445.5,x,VA3YLS,T SQL,156.7,156.7,23,23,Barrie Downtown Barrie,
37,147.285,147.885,+,W2SO,Tone,141.3,88.5,23,23,Batavia,
426,444.275,449.275,+,W2SO,None,88.5,88.5,23,23,Batavia NY State School for the Blind,
34,146.805,146.205,-,N2HLT,Tone,151.4,88.5,23,23,Bath,
65,145.19,144.59,-,KB2WXV,Tone,110.9,88.5,23,23,Bath,
326,146.985,146.385,-,VE3QAR,Tone,118.8,88.5,23,23,Belleville,
349,444.475,449.475,+,VE3QAR,T SQL,118.8,118.8,23,23,Belleville,
38,145.29,144.69,-,WA2LPB,Tone,127.3,88.5,23,23,Bemus Point,
136,145.29,144.69,+,VA3CAX,Tone,156.7,88.5,23,23,Berkeley,
363,146.43,146.43,x,VA3EDE,T SQL,67,67,23,23,Bolton,
5,29.68,29.58,-,AB2UK,Tone,107.2,88.5,23,23,Boston,
39,146.91,146.31,-,W2EUP,None,88.5,88.5,23,23,Boston,
156,146.865,146.265,-,VE3MRT,Tone,156.7,88.5,23,23,Bracebridge,
403,147.24,147.84,+,KD3OH,Tone,173.8,88.5,23,23,Bradford,
