Channel Number,Receive Frequency,Transmit Frequency,Offset Direction,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,RX DCS,Comment,Skip
93,443.3875,448.3875,+,VA3XPS,None,88.5,88.5,23,23,Toronto St. Jamestown neighbourhood,
86,441.95,446.95,+,VA3XPR,None,88.5,88.5,23,23,Toronto St. James Town,
67,444.775,449.775,+,VA3ATL,Tone,110.9,88.5,23,23,Toronto Four Season Hotel and Residences,
91,442.3375,447.3375,+,VA3XPR,None,88.5,88.5,23,23,Toronto First Canadian Place,
10,443.9,448.9,+,VE3WOO,Tone,127.3,88.5,23,23,Toronto First Canadian Pl,
89,444.6375,449.6375,+,VE3YYZ,None,88.5,88.5,23,23,Toronto First Canadian Pl,
4,145.41,144.81,-,VE3TWR,T SQL,103.5,103.5,23,23,Toronto CN Tower,
62,444.4,449.4,+,VE3TWR,T SQL,103.5,103.5,23,23,Toronto CN Tower,
53,443.5,448.5,+,VE3NIB,Tone,103.5,88.5,23,23,Toronto  1st Canadian Pl,
6,145.23,144.63,-,VE3OBN,Tone,103.5,88.5,23,23,Toronto,
9,442.75,447.75,+,VE3WOO,Tone,103.5,88.5,23,23,Toronto,
13,1250,1230,-,VE3YYZ,None,88.5,88.5,23,23,Toronto,
14,1284,1264,-,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
15,1287.5,1267.5,-,VE3YYZ,None,88.5,88.5,23,23,Toronto,
16,145.11,144.51,-,VE3WOO,Tone,82.5,88.5,23,23,Toronto,
17,145.13,144.53,-,VA3GTU,T SQL,103.5,103.5,23,23,Toronto,
21,146.985,146.385,-,VE3SKY,T SQL,103.5,103.5,23,23,Toronto,
29,224.3,222.7,-,VA3WHQ,Tone,103.5,88.5,23,23,Toronto,
30,224.4,222.8,-,VE3KRC,Tone,103.5,88.5,23,23,Toronto,
34,224.84,223.24,-,VE3UKW,None,88.5,88.5,23,23,Toronto,
37,224.98,223.38,-,VE3TTR,None,88.5,88.5,23,23,Toronto,
39,442.175,447.175,+,VA3UKW,Tone,136.5,88.5,23,23,Toronto,
41,442.375,447.375,+,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
42,442.6,447.6,+,VE3CAY,Tone,103.5,88.5,23,23,Toronto,
43,442.65,447.65,+,VA3GTU,Tone,100,88.5,23,23,Toronto,
46,442.975,447.975,+,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
47,443.05,448.05,+,VE3YYZ,T SQL,103.5,103.5,23,23,Toronto,
48,443.1,448.1,+,VE3SKI,None,88.5,88.5,23,23,Toronto,
55,443.65,448.65,+,VE3NOR,Tone,103.5,88.5,23,23,Toronto,
63,444.475,449.475,+,VE3URU,Tone,103.5,88.5,23,23,Toronto,
66,444.7,449.7,+,VE3RAK,Tone,103.5,88.5,23,23,Toronto,
