Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
26.96500,0.00000,,General Public Use Citizens Band,Ch 1,CB Ch 01,CSQ,AM,BM,Other
26.97500,0.00000,,General Public Use Citizens Band,Ch 2,CB Ch 02,CSQ,AM,BM,Other
26.98500,0.00000,,General Public Use Citizens Band,Ch 3,CB Ch 03,CSQ,AM,BM,Other
27.00500,0.00000,,General Public Use Citizens Band,Ch 4,CB Ch 04,CSQ,AM,BM,Other
27.01500,0.00000,,General Public Use Citizens Band,Ch 5,CB Ch 05,CSQ,AM,BM,Other
27.02500,0.00000,,General Public Use Citizens Band,Ch 6,CB Ch 06,CSQ,AM,BM,Other
27.03500,0.00000,,General Public Use Citizens Band,Ch 7,CB Ch 07,CSQ,AM,BM,Other
27.05500,0.00000,,General Public Use Citizens Band,Ch 8,CB Ch 08,CSQ,AM,BM,Other
27.06500,0.00000,,General Public Use Citizens Band,Ch 9 Emergency or Travelers Aid,CB Ch 09,CSQ,AM,BM,Other
27.07500,0.00000,,General Public Use Citizens Band,Ch 10,CB Ch 10,CSQ,AM,BM,Other
27.08500,0.00000,,General Public Use Citizens Band,Ch 11,CB Ch 11,CSQ,AM,BM,Other
27.10500,0.00000,,General Public Use Citizens Band,Ch 12,CB Ch 12,CSQ,AM,BM,Other
27.11500,0.00000,,General Public Use Citizens Band,Ch 13,CB Ch 13,CSQ,AM,BM,Other
27.12500,0.00000,,General Public Use Citizens Band,Ch 14,CB Ch 14,CSQ,AM,BM,Other
27.13500,0.00000,,General Public Use Citizens Band,Ch 15,CB Ch 15,CSQ,AM,BM,Other
27.15500,0.00000,,General Public Use Citizens Band,Ch 16 SSB mode also used,CB Ch 16,CSQ,AM,BM,Other
27.16500,0.00000,,General Public Use Citizens Band,Ch 17,CB Ch 17,CSQ,AM,BM,Other
27.17500,0.00000,,General Public Use Citizens Band,Ch 18,CB Ch 18,CSQ,AM,BM,Other
