Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
156.02500,0.00000,,Marine Channels Marine VHF 187,Ch 60  Shipshore  telephone Ship TX,Marine 60 TX,,FM,M,Transportation
156.05000,0.00000,,Marine Channels Marine VHF 187,Ch 1  Shipshore  telephone Ship TX,Marine 1 TX,,FM,M,Transportation
156.07500,0.00000,,Marine Channels Marine VHF 187,Ch 61A  Canadian Coast Guard,Marine 61A,,FM,BM,Transportation
156.10000,0.00000,,Marine Channels Marine VHF 187,Ch 2  Shipshore  telephone Ship TX,Marine 2 TX,,FM,M,Transportation
156.12500,0.00000,,Marine Channels Marine VHF 187,Ch 62A  Canadian Coast Guard,Marine 62A,,FM,BM,Transportation
156.15000,0.00000,,Marine Channels Marine VHF 187,Ch 3  Shipshore  telephone Ship TX,Marine 3 TX,,FM,M,Transportation
156.17500,0.00000,,Marine Channels Marine VHF 187,Ch 63A  IntershipShipshore  commercial,Marine 63A,,FM,BM,Transportation
156.20000,0.00000,,Marine Channels Marine VHF 187,Ch 4A  Canadian Coast Guard  authorized stations,Marine 4A ,,FM,BM,Transportation
156.22500,0.00000,,Marine Channels Marine VHF 187,Ch 64  Shipshore  telephone Ship TX,Marine 64 TX,,FM,M,Transportation
156.25000,0.00000,,Marine Channels Marine VHF 187,Ch 5  Shipshore  telephone Ship TX,Marine 5 TX,,FM,M,Transportation
156.27500,0.00000,,Marine Channels Marine VHF 187,Ch 65A  Port Operation Canadian Coast Guard,Marine 65A,,FM,BM,Transportation
156.30000,0.00000,,Marine Channels Marine VHF 187,Ch 6  Intership Safety  primary working,Marine 6,,FM,M,Transportation
156.32500,0.00000,,Marine Channels Marine VHF 187,Ch 66A  Marinas  British Columbia,Marine 66A,,FM,BM,Transportation
156.35000,0.00000,,Marine Channels Marine VHF 187,Ch 7  Shipshore  telephone Ship TX,Marine 7 TX,,FM,M,Transportation
156.37500,0.00000,,Marine Channels Marine VHF 187,Ch 67  IntershipShipshore,Marine 67,,FM,BM,Transportation
156.40000,0.00000,,Marine Channels Marine VHF 187,Ch 8  Intership  commercial,Marine 8,,FM,BM,Transportation
156.42500,0.00000,,Marine Channels Marine VHF 187,Ch 68  IntershipShipshore  noncommercial,Marine 68,,FM,BM,Transportation
156.45000,0.00000,,Marine Channels Marine VHF 187,Ch 9  IntershipShipshore,Marine 9,,FM,BM,Transportation
156.47500,0.00000,,Marine Channels Marine VHF 187,Ch 69  IntershipShipshore,Marine 69,,FM,BM,Transportation
156.50000,0.00000,,Marine Channels Marine VHF 187,Ch 10  IntershipShipshore  commercial,Marine 10,,FM,BM,Transportation
156.52500,0.00000,,Marine Channels Marine VHF 187,Ch 70  Digital Selective Calling  Distress and Safety,Marine 70,,FM,BM,Transportation
156.55000,0.00000,,Marine Channels Marine VHF 187,Ch 11  Vessel Traffic System,Marine 11,,FM,BM,Transportation
156.57500,0.00000,,Marine Channels Marine VHF 187,Ch 71  Vessel Traffic System,Marine 71,,FM,BM,Transportation
156.60000,0.00000,,Marine Channels Marine VHF 187,Ch 12  Vessel Traffic System,Marine 12,,FM,BM,Transportation
156.62500,0.00000,,Marine Channels Marine VHF 187,Ch 72  Intership,Marine 72,,FM,M,Transportation
156.65000,0.00000,,Marine Channels Marine VHF 187,Ch 13  Bridge to bridge  Safety of Navigation,Marine 13,,FM,M,Transportation
