Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
159.81000,0.00000,,Rail AAR Standard Channels,AAR 02  Railroad Ops  Canada Only,AAR 02,,FM,BM,Railroad
159.93000,0.00000,,Rail AAR Standard Channels,AAR 03  Railroad Ops  Canada Only Trucking in US,AAR 03,,FM,BM,Railroad
160.05000,0.00000,,Rail AAR Standard Channels,AAR 04  Railroad Ops  Canada Only Trucking in US,AAR 04,,FM,BM,Railroad
160.18500,0.00000,,Rail AAR Standard Channels,AAR 05  Railroad Ops  Canada Only Trucking in US,AAR 05,,FM,BM,Railroad
160.20000,0.00000,,Rail AAR Standard Channels,AAR 06  Railroad Ops  Canada Only Trucking in US,AAR 06,,FM,BM,Railroad
160.21500,0.00000,,Rail AAR Standard Channels,AAR 07  Railroad Operations,AAR 07,,FM,BM,Railroad
160.23000,0.00000,,Rail AAR Standard Channels,AAR 08  Railroad Operations,AAR 08,,FM,BM,Railroad
160.24500,0.00000,,Rail AAR Standard Channels,AAR 09  Railroad Operations,AAR 09,,FM,BM,Railroad
160.26000,0.00000,,Rail AAR Standard Channels,AAR 10  Railroad Operations,AAR 10,,FM,BM,Railroad
160.27500,0.00000,,Rail AAR Standard Channels,AAR 11  Railroad Operations,AAR 11,,FM,BM,Railroad
160.29000,0.00000,,Rail AAR Standard Channels,AAR 12  Railroad Operations,AAR 12,,FM,BM,Railroad
160.30500,0.00000,,Rail AAR Standard Channels,AAR 13  Railroad Operations,AAR 13,,FM,BM,Railroad
160.32000,0.00000,,Rail AAR Standard Channels,AAR 14  Railroad Operations,AAR 14,,FM,BM,Railroad
160.33500,0.00000,,Rail AAR Standard Channels,AAR 15  Railroad Operations,AAR 15,,FM,BM,Railroad
160.35000,0.00000,,Rail AAR Standard Channels,AAR 16  Railroad Operations,AAR 16,,FM,BM,Railroad
160.36500,0.00000,,Rail AAR Standard Channels,AAR 17  Railroad Operations,AAR 17,,FM,BM,Railroad
160.38000,0.00000,,Rail AAR Standard Channels,AAR 18  Railroad Operations,AAR 18,,FM,BM,Railroad
160.39500,0.00000,,Rail AAR Standard Channels,AAR 19  Railroad Operations,AAR 19,,FM,BM,Railroad
160.41000,0.00000,,Rail AAR Standard Channels,AAR 20  Railroad Operations,AAR 20,,FM,BM,Railroad
160.42500,0.00000,,Rail AAR Standard Channels,AAR 21  Railroad Operations,AAR 21,,FM,BM,Railroad
160.44000,0.00000,,Rail AAR Standard Channels,AAR 22  Railroad Operations,AAR 22,,FM,BM,Railroad
160.45500,0.00000,,Rail AAR Standard Channels,AAR 23  Railroad Operations,AAR 23,,FM,BM,Railroad
160.47000,0.00000,,Rail AAR Standard Channels,AAR 24  Railroad Operations,AAR 24,,FM,BM,Railroad
160.48500,0.00000,,Rail AAR Standard Channels,AAR 25  Railroad Operations,AAR 25,,FM,BM,Railroad
160.50000,0.00000,,Rail AAR Standard Channels,AAR 26  Railroad Operations,AAR 26,,FM,BM,Railroad
160.51500,0.00000,,Rail AAR Standard Channels,AAR 27  Railroad Operations,AAR 27,,FM,BM,Railroad
160.53000,0.00000,,Rail AAR Standard Channels,AAR 28  Railroad Operations,AAR 28,,FM,BM,Railroad
160.54500,0.00000,,Rail AAR Standard Channels,AAR 29  Railroad Operations,AAR 29,,FM,BM,Railroad
160.56000,0.00000,,Rail AAR Standard Channels,AAR 30  Railroad Operations,AAR 30,,FM,BM,Railroad
160.57500,0.00000,,Rail AAR Standard Channels,AAR 31  Railroad Operations,AAR 31,,FM,BM,Railroad
160.59000,0.00000,,Rail AAR Standard Channels,AAR 32  Railroad Operations,AAR 32,,FM,BM,Railroad
160.60500,0.00000,,Rail AAR Standard Channels,AAR 33  Railroad Operations,AAR 33,,FM,BM,Railroad
160.62000,0.00000,,Rail AAR Standard Channels,AAR 34  Railroad Operations,AAR 34,,FM,BM,Railroad
160.63500,0.00000,,Rail AAR Standard Channels,AAR 35  Railroad Operations,AAR 35,,FM,BM,Railroad
160.65000,0.00000,,Rail AAR Standard Channels,AAR 36  Railroad Operations,AAR 36,,FM,BM,Railroad
160.66500,0.00000,,Rail AAR Standard Channels,AAR 37  Railroad Operations,AAR 37,,FM,BM,Railroad
160.68000,0.00000,,Rail AAR Standard Channels,AAR 38  Railroad Operations,AAR 38,,FM,BM,Railroad
160.69500,0.00000,,Rail AAR Standard Channels,AAR 39  Railroad Operations,AAR 39,,FM,BM,Railroad
160.71000,0.00000,,Rail AAR Standard Channels,AAR 40  Railroad Operations,AAR 40,,FM,BM,Railroad
160.72500,0.00000,,Rail AAR Standard Channels,AAR 41  Railroad Operations,AAR 41,,FM,BM,Railroad
