Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Mask,Attenuator,Clock Shift,Half Dev,Toronto,Toronto RPTs,Business,Sudbury,Music & News,Citizen,INT HAM,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment,User CTCSS,S-Meter Squelch,Bell,Internet,
1,53.35000,53.35000, ,Simplex,Auto,VA3GTU,Tone,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
2,53.39000,52.39000,1.00 MHz,Minus,Auto,VA3ECT,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
3,144.94000,145.54000,600 kHz,Plus,Auto,VE3YYZ,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
4,145.11000,144.51000,600 kHz,Minus,Auto,VE3WOO,Tone,82.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
5,145.13000,144.53000,600 kHz,Minus,Auto,VA3GTU,T Sql,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
6,145.23000,144.63000,600 kHz,Minus,Auto,VE3OBN,Tone,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
7,145.41000,144.81000,600 kHz,Minus,Auto,VE3TWR,T Sql,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
8,146.94000,146.34000,600 kHz,Minus,Auto,VE3TOR,Tone,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
9,146.98500,146.38500,600 kHz,Minus,Auto,VE3SKY,T Sql,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
10,147.18000,147.78000,600 kHz,Plus,Auto,VE3YYZ,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
11,224.30000,222.70000,1.60 MHz,Minus,Auto,VA3WHQ,Tone,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
12,224.40000,222.80000,1.60 MHz,Minus,Auto,VE3KRC,Tone,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
13,224.84000,223.24000,1.60 MHz,Minus,Auto,VE3UKW,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
14,224.98000,223.38000,1.60 MHz,Minus,Auto,VE3TTR,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
15,441.95000,446.95000,5.00 MHz,Plus,Auto,VA3XPR,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
16,442.17500,447.17500,5.00 MHz,Plus,Auto,VA3UKW,Tone,136.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
17,442.33750,447.33750,5.00 MHz,Plus,Auto,VA3XPR,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
18,442.37500,447.37500,5.00 MHz,Plus,Auto,VA3GTU,Tone,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
19,442.41250,447.41250,5.00 MHz,Plus,Auto,VA3SLU,None,88.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
